Chinese,English
的 ,of 
我 ,I 
你 ,you 
了 ,Got it
是 ,yes 
在 ,exist 
他 ,he 
我们 ,us 
不 ,No 
好 ,good 
什么 ,What 
有 ,have 
就 ,At once 
吧 ,Bar 
她 ,she 
这 ,this 
知道 ,Know 
说 ,explain 
都 ,All 
去 ,go 
很 ,very 
啊 ,ah 
要 ,want 
也 ,also 
他们 ,them 
和 ,and 
那 ,That 
想 ,think 
人 ,people 
会 ,meeting 
一个 ,one 
来 ,Come 
把 ,Bundle 
对 ,right 
没有 ,No 
做 ,Do 
不是 ,no 
让 ,let 
给 ,Give 
you ,you
可以 ,Can 
i ,i
你们 ,you 
呢 ,Woolen cloth 
但 ,but 
l ,l
到 ,arrive 
还 ,return 
现在 ,Now 
the ,the
这个 ,this 
能 ,able 
怎么 ,how 
就是 ,that is 
跟 ,and 
如果 ,if 
没 ,without 
它 ,it 
走 ,Walk 
上 ,superior 
得 ,have to 
被 ,quilt 
这里 ,here 
这样 ,so 
个 ,indivual 
看 ,look 
事 ,things
to ,to
自己 ,Own 
着 ,With
谁 ,who 
过 ,Pass 
不会 ,Won't 
a ,a
告诉 ,Tell 
s ,s
为什么 ,Why 
不能 ,cannot 
真的 ,real 
m ,m
先生 ,gentlemen 
只是 ,only 
不要 ,don't want 
这是 ,This is 
已经 ,already 
再 ,Again 
哦 ,oh 
需要 ,need 
it ,it
因为 ,because 
谢谢 ,Thanks 
像 ,picture 
这么 ,So
可能 ,possible 
但是 ,but 
那个 ,that 
所以 ,so 
喜欢 ,like 
又 ,again 
叫 ,Call 
快 ,quick 
我要 ,I want 
觉得 ,feel 
别 ,Don't 
听 ,listen 
找 ,try to find 
里 ,inside 
还有 ,besides 
时候 ,when 
东西 ,thing 
等 ,wait 
死 ,die 
多 ,many 
从 ,from 
我会 ,I can 
一起 ,Together 
and ,and
应该 ,should 
我們 ,we 
这些 ,These 
that ,that
t ,t
请 ,please 
孩子 ,child 
看到 ,See 
一下 ,one time 
那么 ,So 
为 ,for 
嗎 ,?
而 ,and 
of ,of
您 ,you 
才 ,talent 
用 ,use 
还是 ,still 
嗯 ,Um 
问题 ,question 
工作 ,Work 
一样 ,Same 
呀 ,ah 
开始 ,start 
吃 ,eat 
嘿 ,Hey 
当 ,when 
真 ,real 
中 ,middle 
然后 ,Then 
看看 ,have a look 
說 ,say 
地方 ,place 
一定 ,must 
将 ,Will 
希望 ,hope 
朋友 ,friend 
今天 ,today 
拿 ,take 
一 ,one 
啦 ,La
in ,in
事情 ,matter 
一直 ,Always 
所有 ,all 
we ,we
找到 ,turn up 
什麼 ,what 
哪 ,where 
当然 ,certainly 
们 ,them
回来 ,return 
不想 ,In no mood 
更 ,Even 
最 ,most 
帮 ,help 
is ,is
没事 ,fine 
只 ,Only 
那些 ,Those ones 
可 ,Can 
明白 ,clear 
的话 ,words
爸爸 ,dad 
what ,what
下 ,Down 
太 ,too 
离开 ,leave 
一切 ,everything 
时间 ,time 
相信 ,believe 
chffffff ,chffffff
妈妈 ,Mother 
想要 ,want to 
爱 ,like 
发生 ,occur 
打 ,beat 
点 ,point 
來 ,Come 
钱 ,money 
大 ,big 
起来 ,stand up 
me ,me
真是 ,Really
你好 ,Hello 
抱歉 ,Feel sorry 
必须 ,must 
认为 ,think 
一点 ,a little 
非常 ,Very 
那里 ,There 
对不起 ,sorry 
天 ,sky 
也许 ,Maybe 
大家 ,Everyone 
哪里 ,where 
有人 ,someone
该 ,Should 
意思 ,mean 
杀 ,kill 
准备 ,Prepare 
并 ,and 
出来 ,come out 
this ,this
与 ,and 
时 ,hour 
不过 ,but 
一些 ,Some 
为了 ,for 
带 ,bring 
女人 ,woman 
he ,he
pos ,pos
这儿 ,here
后 ,back 
只有 ,only 
过来 ,come over 
比 ,Compare 
一次 ,once 
得到 ,get 
и ,и
很多 ,a lot of 
on ,on
任何 ,any 
这种 ,This kind of
for ,for
小 ,Small 
怎么样 ,How about it 
對 ,right 
感觉 ,Feel 
年 ,Year 
是不是 ,Yes or no 
以为 ,Think 
fn ,fn
而且 ,and 
my ,my
your ,your
前 ,forward 
生活 ,Life 
男人 ,man 
之前 ,Before 
喂 ,Hello 
问 ,ask 
发现 ,Discover 
噢 ,oh 
可是 ,But 
快点 ,hurry up 
嗨 ,Hi 
妈 ,mom 
两个 ,two 
不用 ,Need not 
re ,re
地 ,land 
向 ,Towards 
名字 ,name 
have ,have
没错 ,That's right
was ,was
no ,no
见 ,See 
do ,do
世界 ,world 
沒 ,not 
记得 ,Remember 
住 ,live 
新 ,new 
be ,be
不错 ,good 
肯定 ,affim 
最好 ,most 
not ,not
不行 ,no 
等等 ,etc 
嘛 ,Well
出去 ,go out 
么 ,What?
先 ,First 
為 ,for 
亲爱 ,Dear
或 ,or 
can ,can
are ,are
don ,don
他們 ,them 
担心 ,Worry 
如何 ,how 
到底 ,in the end 
有点 ,A bit
最后 ,at last 
小姐 ,Miss 
上帝 ,God
认识 ,know 
know ,know
會 ,Can 
正在 ,are
那样 ,that way
父亲 ,Father 
高兴 ,Happy 
明天 ,tomorrow 
重要 ,important 
跑 ,run 
警察 ,police 
只要 ,if only 
干什么 ,what to do
好像 ,like 
再见 ,goodbye 
月 ,moon 
我能 ,i can
继续 ,continue 
出 ,out 
今晚 ,tonight 
all ,all
他妈的 ,damn it 
with ,with
回家 ,go home 
它们 ,them
多少 ,How many 
电话 ,Telephone 
听到 ,hear
干嘛 ,what 
just ,just
干 ,Dry 
but ,but
医生 ,doctor 
要是 ,If
女孩 ,girl 
so ,so
這 ,This 
所 ,Place 
讓 ,let 
马上 ,immediately 
过去 ,past 
以前 ,before 
they ,they
儿子 ,son 
哪儿 ,Where
说话 ,say 
买 ,purchase 
看起来 ,It seems
fnmicrosoft ,fnmicrosoft
一個 ,one
yahei ,Yahei
完全 ,completely 
该死 ,Damn it
there ,there
美国 ,USA 
怎样 ,how
回去 ,go back 
以 ,by 
却 ,but 
其他 ,other 
永远 ,forever 
家伙 ,guy
之后 ,after 
怎麼 ,How
看见 ,see
或者 ,or 
b ,b
小心 ,careful 
fnsimhei ,fnsimhei
行 ,OK 
别人 ,others
成为 ,become
写 ,Write 
不到 ,less than
here ,here
情况 ,Condition 
get ,get
送 ,deliver 
伙计 ,man
一天 ,one day 
玩 ,Play 
见到 ,see
放 ,put 
晚上 ,night 
喝 ,drink 
总是 ,always 
好好 ,well 
琌 ,琌
号 ,Number 
如此 ,in this way 
家 ,Home 
坐 ,sit 
了解 ,learn 
like ,like
有没有 ,Is there any
兄弟 ,brother 
没什么 ,nothing 
我来 ,I'll come
结束 ,Finish 
机会 ,Chance 
已 ,already 
安全 ,Safety 
拜托 ,please
决定 ,Decide 
穿 ,wear 
确定 ,Sure 
里面 ,in 
呃 ,Well 
怎么办 ,what to do 
还好 ,fine 
无法 ,Unable
小时 ,Hour 
站 ,stand 
清楚 ,clear 
有些 ,some
错 ,wrong 
這個 ,this 
帮助 ,help 
长官 ,sir
out ,out
ll ,ll
公司 ,company 
up ,up
打电话 ,Call up 
房子 ,house 
根本 ,Fundamental
懂 ,Understand 
办法 ,method
go ,go
不管 ,in spite of 
混蛋 ,asshole 
关于 ,about 
right ,right
she ,she
搞 ,do
计划 ,plan 
唯一 ,only 
来说 ,Let’s talk
女儿 ,daughter 
one ,one
看着 ,watching
宝贝 ,baby 
每个 ,each
about ,about
怎么回事 ,What's going on
個 ,Piece 
其实 ,actually 
漂亮 ,pretty 
黑体 ,black body
這樣 ,This way
车 ,car 
if ,if
人们 ,people
真正 ,real 
甚至 ,even 
那边 ,Over there
弄 ,alley 
开 ,open 
不好 ,not good 
him ,him
喔 ,oh 
回 ,return
进来 ,Come in 
裏 ,inside
夫人 ,madam
之 ,Of 
at ,at
ぃ ,ぃ
愿意 ,willing 
麻烦 ,trouble 
now ,now
睡 ,sleep 
哇 ,Wow 
就要 ,Want
打算 ,Intend 
完 ,over 
故事 ,story 
一种 ,A sort of 
害怕 ,Fear 
救 ,save
手 ,hand 
房间 ,Room 
由 ,Depend on 
後 ,back 
那儿 ,there
衣服 ,clothing 
枪 ,gun
母亲 ,Mother 
got ,got
另 ,Other 
下来 ,come down
听说 ,heard
不了 ,No more
注意 ,Notice 
改变 ,Change 
how ,how
这次 ,this time 
這是 ,This is
没关系 ,It doesn't matter 
接受 ,accept 
妻子 ,wife 
老 ,old 
失去 ,lose 
回到 ,return to
們 ,them
以后 ,after 
话 ,talk 
是否 ,whether 
her ,her
疯 ,crazy
生命 ,life 
她们 ,them
忙 ,busy 
进去 ,go in
抓 ,Grasp 
女士 ,Miss 
yeah ,yeah
原因 ,reason 
刚才 ,Just now 
保护 ,Protect 
是因为 ,It's because
选择 ,choose 
妳 ,you 
几个 ,several
笑 ,laugh
关系 ,relation 
从来 ,never
will ,will
他会 ,he will
当时 ,at that time
出现 ,Appear 
结婚 ,marry 
些 ,some 
至少 ,At least 
还要 ,More
oh ,oh
挺 ,quite 
成功 ,success 
come ,come
奇怪 ,strangeness 
虽然 ,Although 
忘 ,forget 
太好了 ,Very good 
身上 ,body
或许 ,maybe
讲 ,speak 
你們 ,you 
岁 ,age 
有个 ,There is one
保证 ,ensure 
外面 ,Outside 
ve ,ve
丈夫 ,husband 
连 ,even 
want ,want
国家 ,nation 
整个 ,whole
特别 ,special 
那种 ,That kind
不同 ,different 
著 ,write 
很快 ,soon 
变成 ,become
够 ,enough
难道 ,Could it be
学校 ,School 
一件 ,one piece
样子 ,appearance
倒 ,fall 
电影 ,Movie 
谈谈 ,talk
think ,think
危险 ,Danger 
开心 ,happy 
别的 ,Others
这件 ,this piece
才能 ,Talent
闭嘴 ,Shut up 
正 ,just 
进行 ,conduct 
照片 ,photo 
話 ,talk 
刚刚 ,just 
而已 ,That's all
完成 ,Finish 
誰 ,who 
ﺎ ,ﺎ
方式 ,Way 
from ,from
做到 ,do it
爸 ,dad 
who ,who
因為 ,Because 
声音 ,sound 
第一次 ,first 
看来 ,It seems
只能 ,can only
現在 ,now 
太太 ,Mrs 
下去 ,Go down
绝对 ,Absolutely
处理 ,deal with 
欢迎 ,welcome 
眼睛 ,Eye 
通过 ,pass 
行动 ,action
啥 ,What 
感到 ,feel
最近 ,Recently
聽 ,hear 
as ,as
d ,d
各位 ,Everyone
这边 ,This way
待 ,treat 
掉 ,Lose 
did ,did
不好意思 ,Excuse me 
猜 ,Guess 
使 ,make 
作为 ,as
于 ,At 
see ,see
good ,good
狗 ,dog 
容易 ,easy 
沒有 ,no 
直到 ,until 
求 ,beg 
比赛 ,Contest 
像是 ,like
his ,his
麽 ,What?
let ,let
從 ,from 
拉 ,pull 
拍 ,shoot 
更好 ,better
曾 ,ever 
why ,why
有趣 ,interesting 
就算 ,Even if
活着 ,alive
不會 ,will not 
ﻟ ,ﻟ
努力 ,effort 
帮忙 ,help
留下 ,Leave 
同意 ,agree 
参加 ,join 
well ,well
赢 ,win
死亡 ,die 
每 ,Every 
上面 ,above 
结果 ,result 
消息 ,information 
要求 ,Require 
理解 ,understand 
曾经 ,once 
打开 ,Open 
收到 ,receive 
照顾 ,take care of 
人类 ,human
主意 ,idea
保持 ,Keep 
okay ,okay
成 ,become 
杰克 ,Jack
存在 ,exist 
进 ,Enter 
高 ,high 
晚安 ,Good night 
确实 ,really 
全部 ,all 
靠 ,Depend on 
呆 ,Stay
起 ,rise 
謝謝 ,Thank you 
讨厌 ,Hate 
gonna ,gonna
俩 ,two
an ,an
硂 ,炂
突然 ,Sudden 
多久 ,how long 
老婆 ,Wife
不再 ,no more
when ,when
back ,back
任何人 ,anyone
开玩笑 ,joke 
放在 ,put on
τ ,τ
那個 ,that
进入 ,Enter 
父母 ,parents 
总统 ,president 
伤害 ,harm 
時候 ,time
回答 ,answer 
一位 ,one person
三个 ,three
所有人 ,everyone
老师 ,teacher 
早 ,morning 
除了 ,Apart from 
black ,black
派 ,group 
咱们 ,we
自由 ,free 
可爱 ,cute 
us ,us
日 ,day 
抓住 ,catch 
路 ,road 
谈 ,talk
简单 ,Simple 
time ,time
身体 ,Body 
想法 ,idea 
早上 ,Morning 
這麼 ,So
ﺍ ,ﺍ
能够 ,able
昨晚 ,last night 
哥哥 ,elder brother 
我爱你 ,I love you 
跳 ,Jump 
them ,them
秘密 ,secret 
休息 ,rest 
战争 ,war
其中 ,in 
内 ,Inside 
医院 ,Hospital 
每天 ,every day 
之间 ,between
大概 ,perhaps 
控制 ,control 
刚 ,Just 
小孩 ,Child 
带来 ,bring
停止 ,stop 
因此 ,therefore 
花 ,flower 
证明 ,prove 
约翰 ,John
飞机 ,airplane 
替 ,replace
解释 ,explain 
律师 ,lawyer 
终于 ,finally 
耶 ,yeah 
翻译 ,translate 
调查 ,investigation 
告訴 ,tell
为何 ,why
留在 ,stay
糟糕 ,Oops 
任务 ,Task 
武器 ,weapons
家里 ,at home
头 ,head 
来自 ,from
后面 ,later 
小子 ,boy
going ,going
来到 ,come
解决 ,solve 
would ,would
其他人 ,others
家人 ,family 
坐下 ,sit down 
where ,where
怕 ,Afraid 
直接 ,direct 
办公室 ,office 
停 ,stop 
放弃 ,give up 
鬼 ,ghost 
別 ,Don't
加油 ,come on 
方法 ,method 
游戏 ,game 
即使 ,even though 
fnarial ,fnarial
take ,take
were ,were
本 ,Book 
our ,our
年轻 ,young 
大人 ,grown ups 
使用 ,use 
or ,or
卖 ,Sell ​​
老板 ,boss 
水 ,water 
想想 ,Think about it
坐在 ,sit
目标 ,Target 
need ,need
变得 ,become
可怕 ,horrible 
拿到 ,get
考虑 ,consider 
个人 ,personal 
开枪 ,shoot
哭 ,cry 
been ,been
睡觉 ,sleep 
請 ,please 
分钟 ,minute 
想到 ,think of
等待 ,wait 
音乐 ,music 
再说 ,Say it again
聪明 ,clever 
yes ,yes
姑娘 ,girl
地球 ,Earth 
感谢 ,grateful 
命令 ,Order 
阻止 ,Prevent 
一只 ,one
消失 ,disappear 
喜歡 ,like 
心 ,Heart 
第 ,No.
冷静 ,calm 
似乎 ,It seems
联系 ,connect 
家庭 ,family 
痛苦 ,pain 
城市 ,City 
力量 ,strength 
对于 ,for
未来 ,future 
男孩 ,boy 
三 ,three 
博士 ,PhD 
姐姐 ,elder sister 
疯狂 ,crazy 
报告 ,Report 
放下 ,lay down 
昨天 ,yesterday 
那天 ,that day
還有 ,and 
完美 ,Perfect 
答应 ,promise 
证据 ,evidence 
本来 ,Originally
负责 ,Responsible 
检查 ,examine 
could ,could
見 ,see
已經 ,already 
一条 ,one piece
man ,man
look ,look
厉害 ,sharp 
拥有 ,own
正常 ,normal 
并且 ,and
否则 ,Otherwise
該 ,the
then ,then
以及 ,as well as 
重新 ,again 
忘记 ,forget 
had ,had
这位 ,This one
研究 ,Research 
附近 ,nearby 
不然 ,otherwise 
太棒了 ,marvelous 
很棒 ,great 
方正 ,Founder
字幕 ,subtitle 
脸 ,Face 
者 ,who
加入 ,join in 
於 ,at
唱 ,Sing 
反正 ,Anyway
不该 ,shouldn't
政府 ,government 
快乐 ,hapiness 
身边 ,around
down ,down
遇到 ,meet 
some ,some
這裡 ,here
伟大 ,great
咖啡 ,coffee 
tell ,tell
say ,say
接 ,catch 
仍然 ,still 
门 ,Door 
开车 ,drive 
代表 ,represent 
陪 ,accompany 
若 ,like 
尸体 ,corpse
比较 ,Compare 
一年 ,one year
紧张 ,nervous 
监狱 ,prison 
way ,way
位置 ,Location 
随便 ,casual 
偷 ,steal 
安排 ,arrange 
錢 ,money 
表演 ,Performance 
从没 ,never
除非 ,unless 
屁股 ,ass
這些 ,these
by ,by
酒 ,liquor 
恩 ,kindness 
老兄 ,Dude
支持 ,support 
必要 ,necessary
人生 ,Life 
正确 ,correct 
跟着 ,follow
杀死 ,kill
more ,more
交给 ,hand over
叔叔 ,uncle 
還是 ,Still
食物 ,food 
事实 ,facts
简直 ,Simply
安静 ,Quiet 
离 ,Leave 
一场 ,one game
妹妹 ,younger sister 
something ,something
斯 ,Sri Lanka
美丽 ,beauty 
再次 ,again 
案子 ,case
下面 ,under 
hey ,hey
make ,make
不够 ,not enough
哈 ,ha 
可怜 ,Pitiful 
教 ,teach 
殺 ,kill
首先 ,first 
另外 ,in addition 
提供 ,supply 
记住 ,remember
听见 ,hear
信 ,letter 
国王 ,king
didn ,didn't
面前 ,in front of
几乎 ,almost
日子 ,days
那麼 ,Then
舒服 ,Comfortable 
原来 ,turn out to be 
再也 ,never again
操 ,Hold 
纽约 ,New York 
早就 ,long ago
逼 ,force
really ,really
有关 ,related to
放开 ,let go
信息 ,information 
r ,r
星期 ,Week 
never ,never
不得不 ,Have to
发誓 ,swear
钥匙 ,key 
错误 ,mistake 
放松 ,Relax 
约会 ,Dating 
船 ,Boat 
打扰 ,disturb 
女 ,female 
手机 ,cell phone 
二 ,two 